test_name,run_id,duration_ms,pass_fail,retry_count,browser,headless_mode,timestamp,cpu_load,memory_usage,network_latency
search.spec::filter_results,run-0006,290,1,0,webkit,False,2026-01-01T09:35:00+00:00,57.06,617.07,40.68
notifications.spec::websocket_push,run-0006,850,1,0,webkit,False,2026-01-01T09:35:00+00:00,65.96,799.58,57.25
auth.spec::login_success,run-0007,108,1,0,chromium,True,2026-01-01T09:42:00+00:00,60.84,554.63,56.16
checkout.spec::payment_flow,run-0007,719,0,0,chromium,True,2026-01-01T09:42:00+00:00,55.83,830.8,38.66
orders.spec::list_recent,run-0007,356,1,0,chromium,True,2026-01-01T09:42:00+00:00,58.67,641.48,42.65
profile.spec::upload_avatar,run-0007,393,1,0,chromium,True,2026-01-01T09:42:00+00:00,39.97,681.97,46.57
search.spec::filter_results,run-0007,274,1,0,chromium,True,2026-01-01T09:42:00+00:00,30.74,606.68,48.24
notifications.spec::websocket_push,run-0007,713,0,1,chromium,True,2026-01-01T09:42:00+00:00,55.98,863.06,64.13
auth.spec::login_success,run-0008,158,1,0,firefox,False,2026-01-01T09:49:00+00:00,46.02,574.21,33.66
checkout.spec::payment_flow,run-0008,876,0,0,firefox,False,2026-01-01T09:49:00+00:00,68.17,805.57,79.61
orders.spec::list_recent,run-0008,249,1,0,firefox,False,2026-01-01T09:49:00+00:00,47.76,702.82,31.51
profile.spec::upload_avatar,run-0008,547,1,0,firefox,False,2026-01-01T09:49:00+00:00,46.77,690.57,21.38
search.spec::filter_results,run-0008,471,1,0,firefox,False,2026-01-01T09:49:00+00:00,35.23,599.82,30.9
notifications.spec::websocket_push,run-0008,523,1,0,firefox,False,2026-01-01T09:49:00+00:00,37.73,729.18,77.65
auth.spec::login_success,run-0009,426,1,0,webkit,True,2026-01-01T09:56:00+00:00,39.92,583.29,22.29
checkout.spec::payment_flow,run-0009,733,1,0,webkit,True,2026-01-01T09:56:00+00:00,57.17,876.41,46.46
orders.spec::list_recent,run-0009,359,1,0,webkit,True,2026-01-01T09:56:00+00:00,42.22,621.85,22.1
profile.spec::upload_avatar,run-0009,672,0,0,webkit,True,2026-01-01T09:56:00+00:00,49.95,768.35,59.3
search.spec::filter_results,run-0009,300,1,0,webkit,True,2026-01-01T09:56:00+00:00,47.16,599.65,28.59
notifications.spec::websocket_push,run-0009,759,0,0,webkit,True,2026-01-01T09:56:00+00:00,39.48,855.01,42.94
auth.spec::login_success,run-0010,245,1,0,chromium,False,2026-01-01T10:03:00+00:00,52.87,589.49,15.41
checkout.spec::payment_flow,run-0010,794,1,0,chromium,False,2026-01-01T10:03:00+00:00,49.92,836.43,52.56
orders.spec::list_recent,run-0010,349,1,0,chromium,False,2026-01-01T10:03:00+00:00,59.31,495.33,40.43
profile.spec::upload_avatar,run-0010,639,1,0,chromium,False,2026-01-01T10:03:00+00:00,44.68,652.38,50.7
search.spec::filter_results,run-0010,433,1,0,chromium,False,2026-01-01T10:03:00+00:00,52.64,586.93,18.84
notifications.spec::websocket_push,run-0010,920,0,1,chromium,False,2026-01-01T10:03:00+00:00,67.92,854.26,59.09
auth.spec::login_success,run-0011,339,1,0,firefox,True,2026-01-01T10:10:00+00:00,51.88,548.19,41.62
checkout.spec::payment_flow,run-0011,767,1,0,firefox,True,2026-01-01T10:10:00+00:00,37.62,895.53,61.28
orders.spec::list_recent,run-0011,375,1,0,firefox,True,2026-01-01T10:10:00+00:00,52.11,736.64,52.65
profile.spec::upload_avatar,run-0011,535,0,1,firefox,True,2026-01-01T10:10:00+00:00,63.51,784.06,40.93
search.spec::filter_results,run-0011,221,1,0,firefox,True,2026-01-01T10:10:00+00:00,31.83,568.09,37.64
notifications.spec::websocket_push,run-0011,627,1,0,firefox,True,2026-01-01T10:10:00+00:00,56.69,663.48,65.96
auth.spec::login_success,run-0012,215,1,0,webkit,False,2026-01-01T10:17:00+00:00,59.76,451.02,41.32
checkout.spec::payment_flow,run-0012,919,1,0,webkit,False,2026-01-01T10:17:00+00:00,64.16,872.76,30.42
orders.spec::list_recent,run-0012,323,1,0,webkit,False,2026-01-01T10:17:00+00:00,55.28,649.31,48.37
profile.spec::upload_avatar,run-0012,649,1,0,webkit,False,2026-01-01T10:17:00+00:00,46.92,740.61,36.79
search.spec::filter_results,run-0012,377,1,0,webkit,False,2026-01-01T10:17:00+00:00,42.75,686.48,24.55
notifications.spec::websocket_push,run-0012,605,1,0,webkit,False,2026-01-01T10:17:00+00:00,59.04,790.13,54.53
auth.spec::login_success,run-0013,273,1,0,chromium,True,2026-01-01T10:24:00+00:00,49.14,692.52,46.45
checkout.spec::payment_flow,run-0013,613,1,0,chromium,True,2026-01-01T10:24:00+00:00,44.82,858.43,68.65
orders.spec::list_recent,run-0013,238,1,0,chromium,True,2026-01-01T10:24:00+00:00,28.59,592.82,23.58
profile.spec::upload_avatar,run-0013,677,1,0,chromium,True,2026-01-01T10:24:00+00:00,34.27,621.94,50.47
search.spec::filter_results,run-0013,263,1,0,chromium,True,2026-01-01T10:24:00+00:00,51.02,612.6,42.76
notifications.spec::websocket_push,run-0013,665,0,1,chromium,True,2026-01-01T10:24:00+00:00,52.57,834.63,49.94
auth.spec::login_success,run-0014,248,1,0,firefox,False,2026-01-01T10:31:00+00:00,42.42,610.12,33.16
checkout.spec::payment_flow,run-0014,697,1,0,firefox,False,2026-01-01T10:31:00+00:00,26.06,815.2,31.61
orders.spec::list_recent,run-0014,346,1,0,firefox,False,2026-01-01T10:31:00+00:00,55.49,709.52,40.97
profile.spec::upload_avatar,run-0014,769,0,0,firefox,False,2026-01-01T10:31:00+00:00,40.03,716.31,48.26
search.spec::filter_results,run-0014,231,1,0,firefox,False,2026-01-01T10:31:00+00:00,52.04,699.64,32.95
notifications.spec::websocket_push,run-0014,759,1,0,firefox,False,2026-01-01T10:31:00+00:00,55.35,782.29,39.61
auth.spec::login_success,run-0015,279,1,0,webkit,True,2026-01-01T10:38:00+00:00,38.26,505.66,29.09
checkout.spec::payment_flow,run-0015,900,1,0,webkit,True,2026-01-01T10:38:00+00:00,52.69,872.41,47.13
orders.spec::list_recent,run-0015,341,1,0,webkit,True,2026-01-01T10:38:00+00:00,55.27,618.27,20.88
profile.spec::upload_avatar,run-0015,662,1,0,webkit,True,2026-01-01T10:38:00+00:00,51.89,856.31,45.58
search.spec::filter_results,run-0015,305,1,0,webkit,True,2026-01-01T10:38:00+00:00,54.76,558.49,39.17
notifications.spec::websocket_push,run-0015,706,1,0,webkit,True,2026-01-01T10:38:00+00:00,42.27,702.07,55.87
auth.spec::login_success,run-0016,126,1,0,chromium,False,2026-01-01T10:45:00+00:00,40.67,671.05,30.85
checkout.spec::payment_flow,run-0016,891,0,0,chromium,False,2026-01-01T10:45:00+00:00,46.56,862.69,44.52
orders.spec::list_recent,run-0016,342,1,0,chromium,False,2026-01-01T10:45:00+00:00,33.18,636.85,51.37
profile.spec::upload_avatar,run-0016,644,1,0,chromium,False,2026-01-01T10:45:00+00:00,49.32,780.94,64.35
search.spec::filter_results,run-0016,286,1,0,chromium,False,2026-01-01T10:45:00+00:00,48.3,558.17,27.9
notifications.spec::websocket_push,run-0016,787,1,0,chromium,False,2026-01-01T10:45:00+00:00,61.45,809.66,60.09
auth.spec::login_success,run-0017,243,1,0,firefox,True,2026-01-01T10:52:00+00:00,52.96,463.77,32.65
checkout.spec::payment_flow,run-0017,1045,0,2,firefox,True,2026-01-01T10:52:00+00:00,34.37,689.45,40.77
orders.spec::list_recent,run-0017,568,1,0,firefox,True,2026-01-01T10:52:00+00:00,39.0,662.08,43.82
profile.spec::upload_avatar,run-0017,587,1,0,firefox,True,2026-01-01T10:52:00+00:00,47.54,792.49,48.34
search.spec::filter_results,run-0017,351,1,0,firefox,True,2026-01-01T10:52:00+00:00,52.98,694.59,28.99
notifications.spec::websocket_push,run-0017,597,1,0,firefox,True,2026-01-01T10:52:00+00:00,48.69,866.71,68.13
auth.spec::login_success,run-0018,318,1,0,webkit,False,2026-01-01T10:59:00+00:00,46.18,650.56,37.93
checkout.spec::payment_flow,run-0018,797,0,0,webkit,False,2026-01-01T10:59:00+00:00,33.74,887.56,54.83
orders.spec::list_recent,run-0018,464,1,0,webkit,False,2026-01-01T10:59:00+00:00,36.73,543.74,9.87
profile.spec::upload_avatar,run-0018,647,1,0,webkit,False,2026-01-01T10:59:00+00:00,45.87,740.24,45.0
search.spec::filter_results,run-0018,221,1,0,webkit,False,2026-01-01T10:59:00+00:00,50.63,626.18,45.73
notifications.spec::websocket_push,run-0018,747,1,0,webkit,False,2026-01-01T10:59:00+00:00,49.73,772.61,76.52
auth.spec::login_success,run-0019,133,1,0,chromium,True,2026-01-01T11:06:00+00:00,34.71,560.61,21.42
checkout.spec::payment_flow,run-0019,856,1,0,chromium,True,2026-01-01T11:06:00+00:00,58.4,893.17,40.21
orders.spec::list_recent,run-0019,430,0,1,chromium,True,2026-01-01T11:06:00+00:00,43.92,650.91,21.22
profile.spec::upload_avatar,run-0019,640,1,0,chromium,True,2026-01-01T11:06:00+00:00,61.76,817.64,29.69
search.spec::filter_results,run-0019,328,1,0,chromium,True,2026-01-01T11:06:00+00:00,32.44,588.84,8.33
notifications.spec::websocket_push,run-0019,800,1,0,chromium,True,2026-01-01T11:06:00+00:00,38.83,743.44,76.07
auth.spec::login_success,run-0020,330,1,0,firefox,False,2026-01-01T11:13:00+00:00,46.09,664.67,21.68
checkout.spec::payment_flow,run-0020,799,1,0,firefox,False,2026-01-01T11:13:00+00:00,36.59,829.2,29.58
orders.spec::list_recent,run-0020,436,1,0,firefox,False,2026-01-01T11:13:00+00:00,26.85,664.85,41.5
profile.spec::upload_avatar,run-0020,760,1,0,firefox,False,2026-01-01T11:13:00+00:00,42.03,778.76,39.62
search.spec::filter_results,run-0020,334,1,0,firefox,False,2026-01-01T11:13:00+00:00,49.38,548.11,17.02
notifications.spec::websocket_push,run-0020,529,1,0,firefox,False,2026-01-01T11:13:00+00:00,42.53,718.96,57.46
auth.spec::login_success,run-0021,228,1,0,webkit,True,2026-01-01T11:20:00+00:00,58.11,540.26,28.98
checkout.spec::payment_flow,run-0021,776,0,0,webkit,True,2026-01-01T11:20:00+00:00,44.07,829.86,55.05
orders.spec::list_recent,run-0021,284,1,0,webkit,True,2026-01-01T11:20:00+00:00,60.71,776.71,9.65
profile.spec::upload_avatar,run-0021,405,1,0,webkit,True,2026-01-01T11:20:00+00:00,45.54,738.55,43.42
search.spec::filter_results,run-0021,344,1,0,webkit,True,2026-01-01T11:20:00+00:00,29.06,643.46,43.54
notifications.spec::websocket_push,run-0021,731,1,0,webkit,True,2026-01-01T11:20:00+00:00,49.18,823.34,48.05
auth.spec::login_success,run-0022,115,1,0,chromium,False,2026-01-01T11:27:00+00:00,45.24,543.02,15.58
checkout.spec::payment_flow,run-0022,829,1,0,chromium,False,2026-01-01T11:27:00+00:00,38.36,884.8,69.41
orders.spec::list_recent,run-0022,384,0,0,chromium,False,2026-01-01T11:27:00+00:00,41.36,543.44,53.15
profile.spec::upload_avatar,run-0022,520,1,0,chromium,False,2026-01-01T11:27:00+00:00,47.58,655.19,43.04
search.spec::filter_results,run-0022,337,1,0,chromium,False,2026-01-01T11:27:00+00:00,18.35,648.17,30.98
notifications.spec::websocket_push,run-0022,619,1,0,chromium,False,2026-01-01T11:27:00+00:00,58.96,808.71,36.3
auth.spec::login_success,run-0023,238,1,0,firefox,True,2026-01-01T11:34:00+00:00,47.48,555.32,41.39
checkout.spec::payment_flow,run-0023,923,1,0,firefox,True,2026-01-01T11:34:00+00:00,44.19,828.55,64.42
orders.spec::list_recent,run-0023,434,1,0,firefox,True,2026-01-01T11:34:00+00:00,40.01,613.14,56.58
profile.spec::upload_avatar,run-0023,592,1,0,firefox,True,2026-01-01T11:34:00+00:00,25.88,703.53,58.57
search.spec::filter_results,run-0023,225,0,0,firefox,True,2026-01-01T11:34:00+00:00,41.99,666.21,26.27
notifications.spec::websocket_push,run-0023,702,0,0,firefox,True,2026-01-01T11:34:00+00:00,40.84,739.42,64.69
auth.spec::login_success,run-0024,193,1,0,webkit,False,2026-01-01T11:41:00+00:00,43.46,603.09,44.12
checkout.spec::payment_flow,run-0024,848,1,0,webkit,False,2026-01-01T11:41:00+00:00,37.24,766.51,46.87
orders.spec::list_recent,run-0024,341,1,0,webkit,False,2026-01-01T11:41:00+00:00,43.64,698.54,26.33
profile.spec::upload_avatar,run-0024,518,0,0,webkit,False,2026-01-01T11:41:00+00:00,51.23,791.2,64.68
search.spec::filter_results,run-0024,334,0,0,webkit,False,2026-01-01T11:41:00+00:00,49.49,594.68,37.95
notifications.spec::websocket_push,run-0024,730,1,0,webkit,False,2026-01-01T11:41:00+00:00,58.67,700.41,61.43
auth.spec::login_success,run-0025,284,1,0,chromium,True,2026-01-01T11:48:00+00:00,33.39,462.21,50.6
checkout.spec::payment_flow,run-0025,955,0,1,chromium,True,2026-01-01T11:48:00+00:00,40.47,853.13,44.94
orders.spec::list_recent,run-0025,286,1,0,chromium,True,2026-01-01T11:48:00+00:00,62.45,698.98,63.19
profile.spec::upload_avatar,run-0025,714,1,0,chromium,True,2026-01-01T11:48:00+00:00,52.83,817.73,54.83
search.spec::filter_results,run-0025,357,1,0,chromium,True,2026-01-01T11:48:00+00:00,47.41,506.9,44.89
notifications.spec::websocket_push,run-0025,547,0,0,chromium,True,2026-01-01T11:48:00+00:00,67.89,864.26,72.28
auth.spec::login_success,run-0026,310,1,0,firefox,False,2026-01-01T11:55:00+00:00,45.63,504.36,36.49
checkout.spec::payment_flow,run-0026,696,0,0,firefox,False,2026-01-01T11:55:00+00:00,48.6,951.37,48.79
orders.spec::list_recent,run-0026,370,1,0,firefox,False,2026-01-01T11:55:00+00:00,45.04,625.34,41.59
profile.spec::upload_avatar,run-0026,603,1,0,firefox,False,2026-01-01T11:55:00+00:00,35.9,777.12,38.2
search.spec::filter_results,run-0026,161,1,0,firefox,False,2026-01-01T11:55:00+00:00,53.96,663.26,35.78
notifications.spec::websocket_push,run-0026,714,1,0,firefox,False,2026-01-01T11:55:00+00:00,39.76,808.45,41.96
auth.spec::login_success,run-0027,305,1,0,webkit,True,2026-01-01T12:02:00+00:00,42.28,496.07,49.55
checkout.spec::payment_flow,run-0027,875,1,0,webkit,True,2026-01-01T12:02:00+00:00,43.62,866.41,46.98
orders.spec::list_recent,run-0027,318,1,0,webkit,True,2026-01-01T12:02:00+00:00,40.58,649.93,42.34
profile.spec::upload_avatar,run-0027,823,0,1,webkit,True,2026-01-01T12:02:00+00:00,27.23,646.6,33.21
search.spec::filter_results,run-0027,302,1,0,webkit,True,2026-01-01T12:02:00+00:00,56.14,457.99,35.84
notifications.spec::websocket_push,run-0027,908,1,0,webkit,True,2026-01-01T12:02:00+00:00,46.8,748.09,38.57
auth.spec::login_success,run-0028,185,1,0,chromium,False,2026-01-01T12:09:00+00:00,61.97,546.02,53.48
checkout.spec::payment_flow,run-0028,854,1,0,chromium,False,2026-01-01T12:09:00+00:00,48.47,859.71,70.44
orders.spec::list_recent,run-0028,630,1,0,chromium,False,2026-01-01T12:09:00+00:00,37.53,689.79,48.82
profile.spec::upload_avatar,run-0028,565,1,0,chromium,False,2026-01-01T12:09:00+00:00,48.71,764.32,58.05
search.spec::filter_results,run-0028,326,1,0,chromium,False,2026-01-01T12:09:00+00:00,24.63,641.66,42.35
notifications.spec::websocket_push,run-0028,702,0,0,chromium,False,2026-01-01T12:09:00+00:00,43.66,835.21,53.11
auth.spec::login_success,run-0029,179,1,0,firefox,True,2026-01-01T12:16:00+00:00,43.13,579.84,29.33
checkout.spec::payment_flow,run-0029,935,1,0,firefox,True,2026-01-01T12:16:00+00:00,30.48,744.78,50.16
orders.spec::list_recent,run-0029,351,1,0,firefox,True,2026-01-01T12:16:00+00:00,44.32,648.91,37.36
profile.spec::upload_avatar,run-0029,497,1,0,firefox,True,2026-01-01T12:16:00+00:00,37.47,764.89,33.09
search.spec::filter_results,run-0029,266,1,0,firefox,True,2026-01-01T12:16:00+00:00,26.96,559.18,7.23
notifications.spec::websocket_push,run-0029,658,1,0,firefox,True,2026-01-01T12:16:00+00:00,47.48,847.21,52.56
auth.spec::login_success,run-0030,145,1,0,webkit,False,2026-01-01T12:23:00+00:00,28.24,585.93,42.1
checkout.spec::payment_flow,run-0030,832,1,0,webkit,False,2026-01-01T12:23:00+00:00,43.18,965.82,68.46
orders.spec::list_recent,run-0030,265,1,0,webkit,False,2026-01-01T12:23:00+00:00,33.84,595.15,39.44
profile.spec::upload_avatar,run-0030,681,1,0,webkit,False,2026-01-01T12:23:00+00:00,58.27,812.66,39.68
search.spec::filter_results,run-0030,225,1,0,webkit,False,2026-01-01T12:23:00+00:00,57.63,501.56,43.6
notifications.spec::websocket_push,run-0030,1084,0,3,webkit,False,2026-01-01T12:23:00+00:00,54.74,776.73,50.06
auth.spec::login_success,run-0031,210,1,0,chromium,True,2026-01-01T12:30:00+00:00,55.25,655.11,41.73
checkout.spec::payment_flow,run-0031,714,0,0,chromium,True,2026-01-01T12:30:00+00:00,58.8,900.13,48.35
orders.spec::list_recent,run-0031,442,1,0,chromium,True,2026-01-01T12:30:00+00:00,56.6,652.41,44.49
profile.spec::upload_avatar,run-0031,657,1,0,chromium,True,2026-01-01T12:30:00+00:00,52.23,548.34,11.98
search.spec::filter_results,run-0031,335,1,0,chromium,True,2026-01-01T12:30:00+00:00,32.38,565.83,42.98
notifications.spec::websocket_push,run-0031,754,0,1,chromium,True,2026-01-01T12:30:00+00:00,66.77,796.71,57.0
auth.spec::login_success,run-0032,201,1,0,firefox,False,2026-01-01T12:37:00+00:00,29.95,550.43,35.92
checkout.spec::payment_flow,run-0032,854,0,0,firefox,False,2026-01-01T12:37:00+00:00,48.34,864.77,46.01
orders.spec::list_recent,run-0032,288,1,0,firefox,False,2026-01-01T12:37:00+00:00,55.65,613.82,26.1
profile.spec::upload_avatar,run-0032,669,1,0,firefox,False,2026-01-01T12:37:00+00:00,33.09,761.62,52.71
search.spec::filter_results,run-0032,329,1,0,firefox,False,2026-01-01T12:37:00+00:00,29.96,623.21,44.83
notifications.spec::websocket_push,run-0032,786,1,0,firefox,False,2026-01-01T12:37:00+00:00,45.77,837.38,48.47
auth.spec::login_success,run-0033,343,1,0,webkit,True,2026-01-01T12:44:00+00:00,42.5,583.9,52.13
checkout.spec::payment_flow,run-0033,864,1,0,webkit,True,2026-01-01T12:44:00+00:00,57.64,849.24,50.97
orders.spec::list_recent,run-0033,336,1,0,webkit,True,2026-01-01T12:44:00+00:00,44.63,655.21,46.21
profile.spec::upload_avatar,run-0033,578,1,0,webkit,True,2026-01-01T12:44:00+00:00,52.19,681.09,56.22
search.spec::filter_results,run-0033,261,1,0,webkit,True,2026-01-01T12:44:00+00:00,33.55,548.84,17.39
notifications.spec::websocket_push,run-0033,667,0,0,webkit,True,2026-01-01T12:44:00+00:00,54.0,806.88,59.54
auth.spec::login_success,run-0034,255,1,0,chromium,False,2026-01-01T12:51:00+00:00,39.96,444.59,11.05
checkout.spec::payment_flow,run-0034,973,0,0,chromium,False,2026-01-01T12:51:00+00:00,51.43,824.98,63.65
orders.spec::list_recent,run-0034,369,0,0,chromium,False,2026-01-01T12:51:00+00:00,39.02,680.81,50.43
profile.spec::upload_avatar,run-0034,514,1,0,chromium,False,2026-01-01T12:51:00+00:00,55.39,754.61,58.84
search.spec::filter_results,run-0034,233,1,0,chromium,False,2026-01-01T12:51:00+00:00,49.43,552.44,30.8
notifications.spec::websocket_push,run-0034,552,1,0,chromium,False,2026-01-01T12:51:00+00:00,51.7,923.98,49.65
auth.spec::login_success,run-0035,319,1,0,firefox,True,2026-01-01T12:58:00+00:00,47.71,571.01,38.15
checkout.spec::payment_flow,run-0035,831,1,0,firefox,True,2026-01-01T12:58:00+00:00,44.84,914.77,66.85
orders.spec::list_recent,run-0035,365,1,0,firefox,True,2026-01-01T12:58:00+00:00,49.15,715.98,25.74
profile.spec::upload_avatar,run-0035,639,0,1,firefox,True,2026-01-01T12:58:00+00:00,39.27,761.47,28.04
search.spec::filter_results,run-0035,517,1,0,firefox,True,2026-01-01T12:58:00+00:00,58.35,618.41,30.21
notifications.spec::websocket_push,run-0035,769,0,1,firefox,True,2026-01-01T12:58:00+00:00,36.62,704.6,47.2
auth.spec::login_success,run-0036,189,1,0,webkit,False,2026-01-01T13:05:00+00:00,43.69,608.22,29.2
checkout.spec::payment_flow,run-0036,772,1,0,webkit,False,2026-01-01T13:05:00+00:00,65.19,879.7,64.12
orders.spec::list_recent,run-0036,471,1,0,webkit,False,2026-01-01T13:05:00+00:00,50.74,669.41,52.16
profile.spec::upload_avatar,run-0036,498,1,0,webkit,False,2026-01-01T13:05:00+00:00,34.84,705.3,55.56
search.spec::filter_results,run-0036,365,1,0,webkit,False,2026-01-01T13:05:00+00:00,41.28,541.63,55.1
notifications.spec::websocket_push,run-0036,722,1,0,webkit,False,2026-01-01T13:05:00+00:00,61.94,769.63,53.05
auth.spec::login_success,run-0037,136,1,0,chromium,True,2026-01-01T13:12:00+00:00,43.63,523.26,41.75
checkout.spec::payment_flow,run-0037,828,1,0,chromium,True,2026-01-01T13:12:00+00:00,67.11,847.09,46.16
orders.spec::list_recent,run-0037,198,1,0,chromium,True,2026-01-01T13:12:00+00:00,41.97,598.78,27.87
profile.spec::upload_avatar,run-0037,762,0,0,chromium,True,2026-01-01T13:12:00+00:00,48.77,744.12,47.89
search.spec::filter_results,run-0037,433,1,0,chromium,True,2026-01-01T13:12:00+00:00,23.98,575.13,9.41
notifications.spec::websocket_push,run-0037,797,1,0,chromium,True,2026-01-01T13:12:00+00:00,46.76,845.55,57.78
auth.spec::login_success,run-0038,223,1,0,firefox,False,2026-01-01T13:19:00+00:00,46.33,533.62,47.9
checkout.spec::payment_flow,run-0038,863,1,0,firefox,False,2026-01-01T13:19:00+00:00,64.13,717.7,49.42
orders.spec::list_recent,run-0038,272,1,0,firefox,False,2026-01-01T13:19:00+00:00,42.05,553.6,34.24
profile.spec::upload_avatar,run-0038,524,1,0,firefox,False,2026-01-01T13:19:00+00:00,66.42,726.35,76.64
search.spec::filter_results,run-0038,152,0,0,firefox,False,2026-01-01T13:19:00+00:00,34.02,600.33,35.85
notifications.spec::websocket_push,run-0038,613,1,0,firefox,False,2026-01-01T13:19:00+00:00,54.26,812.46,53.88
auth.spec::login_success,run-0039,273,1,0,webkit,True,2026-01-01T13:26:00+00:00,49.93,563.91,26.75
checkout.spec::payment_flow,run-0039,967,0,1,webkit,True,2026-01-01T13:26:00+00:00,64.72,907.91,47.71
orders.spec::list_recent,run-0039,431,1,0,webkit,True,2026-01-01T13:26:00+00:00,64.2,568.96,61.81
profile.spec::upload_avatar,run-0039,784,1,0,webkit,True,2026-01-01T13:26:00+00:00,35.17,722.26,34.45
search.spec::filter_results,run-0039,292,1,0,webkit,True,2026-01-01T13:26:00+00:00,37.26,565.82,29.44
notifications.spec::websocket_push,run-0039,747,0,0,webkit,True,2026-01-01T13:26:00+00:00,45.71,779.27,62.74
auth.spec::login_success,run-0040,80,1,0,chromium,False,2026-01-01T13:33:00+00:00,25.49,440.76,19.81
checkout.spec::payment_flow,run-0040,1047,0,1,chromium,False,2026-01-01T13:33:00+00:00,57.23,802.95,54.33
orders.spec::list_recent,run-0040,429,1,0,chromium,False,2026-01-01T13:33:00+00:00,50.2,667.64,31.68
profile.spec::upload_avatar,run-0040,674,0,1,chromium,False,2026-01-01T13:33:00+00:00,40.47,750.46,51.07
search.spec::filter_results,run-0040,347,1,0,chromium,False,2026-01-01T13:33:00+00:00,56.77,549.93,55.87
notifications.spec::websocket_push,run-0040,842,0,0,chromium,False,2026-01-01T13:33:00+00:00,46.48,690.08,52.92
